data_sorteio,cd_sorteio,ganhadores,premio,dezenas_sorteadas
2/02/2019,2121,1,24666686.00,"[8, 10, 17, 29, 37, 40]"
30/01/2019,2120,0,19834810.00,"[13, 20, 24, 25, 38, 41]"
26/01/2019,2119,0,15932005.00,"[19, 21, 26, 31, 42, 49]"
23/01/2019,2118,1,37902607.00,"[11, 12, 20, 40, 41, 46]"
19/01/2019,2117,0,32229209.00,"[4, 28, 29, 30, 43, 52]"
17/01/2019,2116,0,27296435.00,"[1, 9, 19, 21, 34, 54]"
15/01/2019,2115,0,23147777.00,"[4, 19, 27, 35, 40, 44]"
12/01/2019,2114,0,19917929.00,"[17, 25, 30, 35, 42, 57]"
9/01/2019,2113,0,7834293.00,"[11, 14, 21, 25, 46, 50]"
5/01/2019,2112,0,4312684.00,"[17, 39, 43, 46, 52, 53]"
2/01/2019,2111,0,1247754.00,"[1, 41, 44, 46, 54, 58]"
20/12/2018,2109,0,135838889.00,"[4, 12, 16, 34, 44, 49]"
18/12/2018,2108,0,45845920.00,"[19, 22, 29, 41, 44, 59]"
15/12/2018,2107,0,41402855.00,"[8, 38, 44, 50, 56, 60]"
12/12/2018,2106,0,35176471.00,"[3, 27, 36, 39, 40, 43]"
8/12/2018,2105,0,29793024.00,"[11, 13, 16, 24, 31, 46]"
6/12/2018,2104,0,25324918.00,"[2, 10, 12, 27, 45, 56]"
4/12/2018,2103,0,8710512.00,"[3, 13, 40, 44, 46, 50]"
1/12/2018,2102,0,6136007.00,"[4, 6, 17, 34, 51, 57]"
28/11/2018,2101,0,2586019.00,"[2, 8, 18, 37, 56, 58]"
24/11/2018,2100,1,69186484.00,"[1, 10, 11, 13, 35, 49]"
21/11/2018,2099,0,60511157.00,"[5, 15, 20, 27, 30, 58]"
17/11/2018,2098,0,37805495.00,"[2, 8, 18, 27, 38, 60]"
14/11/2018,2097,0,32589388.00,"[9, 24, 28, 45, 49, 51]"
10/11/2018,2096,0,27180430.00,"[6, 11, 13, 19, 24, 51]"
7/11/2018,2095,0,22088650.00,"[16, 29, 35, 43, 49, 56]"
3/11/2018,2094,0,17652712.00,"[4, 16, 19, 31, 33, 44]"
31/10/2018,2093,0,5262116.00,"[8, 14, 27, 34, 52, 54]"
27/10/2018,2092,0,2418938.00,"[11, 13, 15, 17, 22, 27]"
25/10/2018,2091,1,20024894.00,"[10, 11, 12, 37, 38, 59]"
23/10/2018,2090,0,16563354.00,"[8, 11, 18, 37, 40, 51]"
20/10/2018,2089,0,14026432.00,"[5, 10, 32, 38, 48, 49]"
17/10/2018,2088,1,2526635.00,"[3, 14, 24, 27, 38, 56]"
13/10/2018,2087,1,27364769.00,"[2, 18, 19, 23, 34, 53]"
10/10/2018,2086,0,23380026.00,"[4, 35, 43, 46, 47, 53]"
6/10/2018,2085,0,19218427.00,"[12, 21, 25, 37, 38, 49]"
3/10/2018,2084,0,14932202.00,"[7, 20, 26, 37, 38, 39]"
29/09/2018,2083,0,2699258.00,"[1, 18, 19, 33, 56, 60]"
26/09/2018,2082,1,2420701.00,"[6, 25, 33, 42, 48, 49]"
22/09/2018,2081,1,21763750.00,"[13, 18, 35, 40, 41, 42]"
20/09/2018,2080,0,18010447.00,"[10, 22, 40, 46, 55, 58]"
18/09/2018,2079,0,14977664.00,"[1, 2, 14, 37, 55, 58]"
15/09/2018,2078,0,2817514.00,"[2, 11, 15, 30, 36, 39]"
12/09/2018,2077,1,27758694.00,"[13, 16, 26, 35, 37, 39]"
8/09/2018,2076,0,23405346.00,"[5, 6, 12, 15, 22, 43]"
5/09/2018,2075,0,19815375.00,"[7, 9, 23, 33, 57, 59]"
1/09/2018,2074,2,44655082.00,"[8, 18, 23, 37, 42, 58]"
29/08/2018,2073,0,38506447.00,"[12, 15, 18, 30, 52, 55]"
25/08/2018,2072,0,33066374.00,"[10, 12, 13, 20, 22, 54]"
22/08/2018,2071,0,27768582.00,"[24, 33, 34, 35, 46, 60]"
18/08/2018,2070,0,23191475.00,"[5, 26, 27, 34, 42, 48]"
16/08/2018,2069,0,19225577.00,"[3, 17, 34, 35, 40, 48]"
14/08/2018,2068,0,5093935.00,"[3, 5, 9, 40, 42, 47]"
11/08/2018,2067,0,3032010.00,"[2, 11, 13, 26, 32, 59]"
8/08/2018,2066,1,35155103.00,"[6, 25, 27, 35, 45, 55]"
4/08/2018,2065,0,29921018.00,"[4, 11, 20, 30, 37, 43]"
1/08/2018,2064,0,24852796.00,"[10, 14, 36, 53, 55, 60]"
28/07/2018,2063,0,2867828.00,"[6, 10, 19, 24, 25, 29]"
25/07/2018,2062,1,73450153.00,"[8, 10, 15, 23, 25, 34]"
21/07/2018,2061,0,63855146.00,"[33, 36, 40, 44, 45, 54]"
18/07/2018,2060,0,56029903.00,"[8, 9, 11, 25, 39, 41]"
14/07/2018,2059,0,49363979.00,"[4, 5, 36, 40, 44, 56]"
11/07/2018,2058,0,31279809.00,"[4, 19, 23, 29, 56, 59]"
7/07/2018,2057,0,26722348.00,"[10, 13, 20, 37, 38, 54]"
5/07/2018,2056,0,23155036.00,"[18, 22, 29, 34, 36, 47]"
3/07/2018,2055,0,19530209.00,"[6, 25, 35, 43, 46, 53]"
30/06/2018,2054,0,17174516.00,"[4, 7, 12, 22, 26, 39]"
27/06/2018,2053,0,2068827.00,"[12, 22, 27, 37, 40, 55]"
23/06/2018,2052,4,38510236.00,"[50, 51, 56, 57, 58, 59]"
20/06/2018,2051,0,33725171.00,"[1, 5, 6, 37, 44, 53]"
16/06/2018,2050,0,28999862.00,"[8, 31, 32, 33, 38, 50]"
13/06/2018,2049,0,24258030.00,"[10, 19, 27, 31, 51, 53]"
9/06/2018,2048,0,9409463.00,"[10, 19, 26, 35, 38, 39]"
6/06/2018,2047,0,5616883.00,"[1, 18, 19, 29, 44, 54]"
2/06/2018,2046,0,2526861.00,"[3, 6, 11, 27, 28, 46]"
30/05/2018,2045,1,29066470.00,"[15, 25, 27, 45, 46, 50]"
26/05/2018,2044,0,24641743.00,"[7, 14, 47, 54, 56, 60]"
23/05/2018,2043,0,6087756.00,"[21, 38, 53, 56, 57, 58]"
19/05/2018,2042,0,2987466.00,"[14, 22, 29, 32, 33, 35]"
16/05/2018,2041,1,58932070.00,"[10, 12, 22, 25, 42, 54]"
12/05/2018,2040,0,51290263.00,"[6, 9, 41, 54, 56, 58]"
10/05/2018,2039,0,44786421.00,"[6, 12, 22, 28, 31, 44]"
8/05/2018,2038,0,26744923.00,"[6, 25, 26, 35, 38, 40]"
5/05/2018,2037,0,23342740.00,"[14, 16, 23, 30, 45, 60]"
2/05/2018,2036,0,18189847.00,"[7, 8, 19, 23, 27, 58]"
28/04/2018,2035,0,14510533.00,"[30, 35, 36, 38, 49, 52]"
